book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
afternoon,Sat,COLOR,JOANNE,COLOR,JOANNE,1,350,Sat,afternoon,0,1,65,1,0,1,1,0,0,0,35
afternoon,Sat,COLOR,JOANNE,COLOR,JOANNE,1,70,Sat,afternoon,0,0,135,2,0,2,1,0,0,0,42
afternoon,Sat,COLOR,JOANNE,COLOR,JOANNE,3,167,Fri,afternoon,0,1,167,3,2,1,3,0,0,0,36
afternoon,Sat,COLOR,JOANNE,COLOR,JOANNE,0,0,Fri,,0,0,636,12,9,3,5,2,0,0,1
afternoon,Thurs,COLOR,JOANNE,COLOR,JOANNE,2,120,Sat,morning,0,1,215,4,2,2,4,0,0,0,33
afternoon,Thurs,COLOR,JOANNE,COLOR,KELLY,1,0,Thurs,,0,0,70,2,1,1,0,1,0,0,28
afternoon,Thurs,COLOR,JOANNE,COLOR,KELLY,2,110,Fri,morning,0,1,110,2,1,1,2,0,0,0,41
afternoon,Thurs,COLOR,JOANNE,COLOR,KELLY,2,172,Wed,morning,0,1,172,2,1,1,2,0,0,0,43
afternoon,Thurs,COLOR,JJ,COLOR,KELLY,2,160,Wed,afternoon,0,1,160,2,1,1,2,0,0,1,15
afternoon,Tues,COLOR,KELLY,COLOR,KELLY,1,0,Thurs,,1,0,55,2,1,1,0,1,1,0,5
afternoon,Tues,COLOR,JOANNE,COLOR,JOANNE,2,187,Thurs,afternoon,0,1,297,4,2,2,4,0,0,0,26
afternoon,Tues,COLOR,JOANNE,COLOR,JOANNE,0,0,Fri,,0,0,622,12,8,4,4,5,3,0,4
afternoon,Tues,COLOR,JOANNE,COLOR,JOANNE,2,135,Sat,morning,0,1,217,3,2,1,2,0,0,0,66
afternoon,Tues,COLOR,JJ,COLOR,JJ,2,105,Tues,morning,0,1,270,7,4,3,4,0,2,0,14
afternoon,Tues,COLOR,JOANNE,COLOR,JOANNE,1,197.8,Sat,afternoon,0,1,160,1,0,1,1,0,0,0,45
afternoon,Tues,COLOR,JOANNE,COLOR,JOANNE,1,160,Tues,morning,0,0,160,1,0,1,0,0,0,0,42
afternoon,Tues,COLOR,JOANNE,COLOR,JOANNE,1,50,Fri,afternoon,0,0,50,1,0,1,0,0,0,0,32
afternoon,Wed,COLOR,JOANNE,COLOR,JOANNE,2,202,Fri,afternoon,0,1,309,5,4,1,2,0,0,0,26
afternoon,Wed,COLOR,JOANNE,COLOR,JOANNE,1,70,Thurs,morning,0,0,135,2,0,2,0,0,0,0,27
afternoon,Wed,COLOR,JOANNE,COLOR,JOANNE,2,172,Wed,morning,0,1,304,4,2,2,4,0,0,0,42
afternoon,Wed,COLOR,JJ,COLOR,JJ,0,0,Tues,,0,0,315,11,6,5,4,3,3,0,8
afternoon,Fri,MISC,BECKY,COLOR,KELLY,2,192,Thurs,afternoon,0,1,192,2,1,1,2,0,0,0,15
afternoon,Sat,MISC,SINEAD,COLOR,KELLY,2,100,Tues,morning,0,1,100,2,1,1,2,0,0,0,25
afternoon,Sat,MISC,KELLY,COLOR,KELLY,2,180,Sat,afternoon,0,1,155,2,1,1,2,0,0,0,35
afternoon,Tues,MISC,KELLY,COLOR,KELLY,1,0,Thurs,,1,0,55,2,1,1,0,1,1,0,5
afternoon,Tues,MISC,BECKY,COLOR,JOANNE,2,0,Tues,morning,1,0,0,2,1,1,0,0,2,0,49
afternoon,Wed,MISC,SINEAD,COLOR,JOANNE,2,250,Tues,morning,0,1,400,9,6,2,4,2,1,1,1
afternoon,Fri,STYLE,JJ,COLOR,JJ,2,105,Sat,morning,0,1,250,6,3,3,4,1,1,0,34
afternoon,Fri,STYLE,JJ,COLOR,JOANNE,1,130,Sat,morning,0,0,526,6,4,2,0,1,0,0,6
afternoon,Fri,STYLE,JJ,COLOR,JOANNE,2,115,Thurs,morning,0,1,115,2,1,1,2,0,0,0,29
afternoon,Fri,STYLE,BECKY,COLOR,JOANNE,2,167,Wed,morning,0,1,167,2,1,1,2,0,0,0,23
afternoon,Fri,STYLE,BECKY,COLOR,JOANNE,2,300,Fri,morning,0,1,467,4,2,2,4,0,0,0,14
afternoon,Fri,STYLE,JJ,COLOR,JOANNE,2,145,Fri,afternoon,0,1,302,4,3,1,2,0,0,0,35
afternoon,Fri,STYLE,JJ,COLOR,JOANNE,0,0,Fri,,1,0,192,4,2,2,0,2,2,0,42
afternoon,Fri,STYLE,JJ,COLOR,JOANNE,2,287,Tues,afternoon,0,1,222,3,1,1,2,0,0,0,3
afternoon,Fri,STYLE,KELLY,COLOR,JOANNE,1,70,Fri,afternoon,0,0,210,2,0,2,0,0,0,0,35
afternoon,Fri,STYLE,JJ,COLOR,JJ,1,45,Thurs,morning,0,0,465,14,7,7,6,3,3,0,22
afternoon,Fri,STYLE,JJ,COLOR,JOANNE,2,152,Tues,morning,0,1,152,3,2,1,2,1,0,0,24
afternoon,Fri,STYLE,JJ,COLOR,KELLY,2,147,Wed,morning,0,1,147,2,1,1,2,0,0,0,44
afternoon,Sat,STYLE,BECKY,COLOR,JOANNE,2,245,Fri,afternoon,0,1,220,2,1,1,2,0,0,0,64
afternoon,Sat,STYLE,SINEAD,COLOR,KELLY,2,100,Tues,morning,0,1,100,2,1,1,2,0,0,0,25
afternoon,Sat,STYLE,JJ,COLOR,JJ,2,82,Fri,afternoon,0,1,82,2,1,1,1,0,0,0,50
afternoon,Sat,STYLE,KELLY,COLOR,KELLY,2,180,Sat,afternoon,0,1,155,2,1,1,2,0,0,0,35
afternoon,Sat,STYLE,JJ,COLOR,JOANNE,1,140,Sat,morning,0,0,140,1,0,1,0,0,0,0,56
afternoon,Sat,STYLE,JJ,COLOR,JOANNE,0,0,Fri,,0,0,636,12,9,3,5,2,0,0,1
afternoon,Sat,STYLE,BECKY,COLOR,JOANNE,2,122,Sat,afternoon,0,1,758,14,10,4,7,2,0,0,7
afternoon,Thurs,STYLE,BECKY,COLOR,JOANNE,2,120,Sat,morning,0,1,215,4,2,2,4,0,0,0,33
afternoon,Thurs,STYLE,KELLY,COLOR,JOANNE,2,170,Sat,morning,0,1,170,2,1,1,2,0,0,0,33
afternoon,Thurs,STYLE,KELLY,COLOR,JOANNE,2,195,Thurs,morning,0,1,365,4,2,2,4,0,0,0,35
afternoon,Thurs,STYLE,KELLY,COLOR,JOANNE,2,210,Thurs,afternoon,0,1,210,2,1,1,2,0,0,0,35
afternoon,Thurs,STYLE,BECKY,COLOR,JOANNE,2,122,Wed,afternoon,0,1,1123,18,14,4,11,1,0,0,8
afternoon,Thurs,STYLE,SINEAD,COLOR,KELLY,0,0,Tues,,1,0,0,1,0,1,0,1,1,0,2
afternoon,Thurs,STYLE,BECKY,COLOR,JOANNE,2,50,Tues,morning,0,0,1200,19,14,5,1,4,7,1,9
afternoon,Thurs,STYLE,SINEAD,COLOR,JOANNE,2,160,Thurs,afternoon,0,1,765,10,8,2,4,0,5,0,7
afternoon,Thurs,STYLE,JJ,COLOR,JOANNE,2,120,Wed,morning,0,1,1037,18,14,4,6,4,5,0,22
afternoon,Thurs,STYLE,JJ,COLOR,BECKY,0,0,Sat,,0,0,152,3,1,2,2,1,0,0,40
afternoon,Thurs,STYLE,SINEAD,COLOR,KELLY,1,0,Thurs,,0,0,70,2,1,1,0,1,0,0,28
afternoon,Thurs,STYLE,JJ,COLOR,JOANNE,2,50,Fri,evening,0,0,450,7,5,2,2,2,3,0,13
afternoon,Thurs,STYLE,BECKY,COLOR,KELLY,2,160,Wed,afternoon,0,1,160,2,1,1,2,0,0,1,15
afternoon,Thurs,STYLE,JJ,COLOR,JJ,2,0,Thurs,afternoon,1,0,0,2,1,1,0,0,2,0,21
afternoon,Thurs,STYLE,JJ,COLOR,JOANNE,2,172,Fri,morning,0,1,376,6,4,2,4,1,0,0,27
afternoon,Tues,STYLE,BECKY,COLOR,JJ,1,0,Sat,,0,0,498,9,6,3,4,1,0,0,3
afternoon,Tues,STYLE,JJ,COLOR,JOANNE,2,187,Thurs,afternoon,0,1,297,4,2,2,4,0,0,0,26
afternoon,Tues,STYLE,SINEAD,COLOR,JOANNE,1,0,Thurs,,1,0,150,7,5,1,2,2,1,0,5
afternoon,Tues,STYLE,JJ,COLOR,JOANNE,2,135,Sat,morning,0,1,217,3,2,1,2,0,0,0,66
afternoon,Wed,STYLE,JJ,COLOR,JOANNE,2,202,Fri,afternoon,0,1,309,5,4,1,2,0,0,0,26
afternoon,Wed,STYLE,JJ,COLOR,JOANNE,2,182,Wed,morning,0,1,182,2,1,1,2,0,0,0,14
afternoon,Wed,STYLE,JJ,COLOR,JOANNE,2,382.8,Sat,afternoon,0,1,364,6,4,1,2,1,1,1,60
afternoon,Wed,STYLE,JJ,COLOR,JOANNE,1,0,Thurs,,0,0,865,13,10,3,4,2,5,0,6
afternoon,Wed,STYLE,JJ,COLOR,JOANNE,1,50,Wed,afternoon,0,0,234,3,2,1,0,0,0,0,35
afternoon,Wed,STYLE,JJ,COLOR,JJ,2,132,Thurs,afternoon,0,1,132,2,1,1,2,0,0,0,41
afternoon,Wed,STYLE,JJ,COLOR,JOANNE,2,172,Wed,morning,0,1,304,4,2,2,4,0,0,0,42
afternoon,Wed,STYLE,JJ,COLOR,JOANNE,1,70,Sat,afternoon,0,0,190,3,2,1,1,0,0,0,32
afternoon,Wed,STYLE,JJ,COLOR,KELLY,1,0,Wed,,1,0,40,2,1,1,0,1,1,0,42
afternoon,Wed,STYLE,JJ,COLOR,JJ,0,0,Tues,,0,0,315,11,6,5,4,3,3,0,8
afternoon,Sat,COLOR,JOANNE,MISC,JOANNE,1,0,Tues,afternoon,0,0,82,4,3,0,0,1,1,0,11
afternoon,Sat,COLOR,KELLY,MISC,KELLY,1,0,Tues,evening,0,0,0,1,0,0,0,0,0,0,11
afternoon,Tues,COLOR,JOANNE,MISC,JJ,1,0,Tues,morning,0,0,0,1,0,0,0,0,0,0,49
afternoon,Wed,COLOR,JOANNE,MISC,BECKY,1,0,Fri,afternoon,0,0,192,3,1,1,2,0,0,0,54
afternoon,Sat,MISC,SINEAD,MISC,SINEAD,1,0,Tues,evening,0,0,0,1,0,0,0,0,0,0,18
afternoon,Sat,MISC,KELLY,MISC,KELLY,1,0,Tues,evening,0,0,0,1,0,0,0,0,0,0,11
afternoon,Fri,STYLE,BECKY,MISC,SINEAD,1,0,Wed,morning,0,0,115,3,1,1,2,0,0,0,37
afternoon,Fri,STYLE,BECKY,MISC,BECKY,1,59.4,Tues,evening,0,1,60,3,1,0,1,1,1,0,52
afternoon,Fri,STYLE,KELLY,MISC,KELLY,1,0,Tues,evening,0,0,0,1,0,0,0,0,0,0,10
afternoon,Fri,STYLE,JJ,MISC,JJ,1,24.3,Tues,afternoon,0,1,82,2,1,0,1,0,0,0,31
afternoon,Sat,STYLE,SINEAD,MISC,SINEAD,1,0,Sat,afternoon,0,0,0,2,0,0,0,0,0,0,35
afternoon,Sat,STYLE,JJ,MISC,JOANNE,1,0,Tues,afternoon,0,0,82,4,3,0,0,1,1,0,11
afternoon,Sat,STYLE,KELLY,MISC,KELLY,1,0,Tues,evening,0,0,0,1,0,0,0,0,0,0,11
afternoon,Thurs,STYLE,BECKY,MISC,BECKY,1,0,Fri,evening,0,0,60,2,1,0,0,0,0,0,34
afternoon,Thurs,STYLE,JJ,MISC,JJ,1,0,Tues,morning,0,0,184,3,2,0,0,0,0,0,16
afternoon,Tues,STYLE,JJ,MISC,JJ,1,0,Fri,afternoon,0,0,82,2,1,0,0,0,0,0,25
afternoon,Wed,STYLE,HOUSE,MISC,SINEAD,1,0,Wed,afternoon,0,0,0,1,0,0,0,0,0,0,7
afternoon,Wed,STYLE,JJ,MISC,BECKY,1,0,Fri,afternoon,0,0,192,3,1,1,2,0,0,0,54
afternoon,Wed,STYLE,JJ,MISC,HOUSE,1,0,Sun,morning,0,0,40,3,1,0,0,0,0,0,59
afternoon,Fri,COLOR,JOANNE,STYLE,KELLY,1,55,Sat,evening,0,0,189,3,3,0,0,0,0,0,13
afternoon,Fri,COLOR,JOANNE,STYLE,BECKY,1,50,Wed,afternoon,0,0,182,3,3,0,1,0,0,0,2
afternoon,Fri,COLOR,JOANNE,STYLE,SINEAD,1,0,Sat,morning,1,0,580,11,8,3,0,3,5,0,20
afternoon,Fri,COLOR,JOANNE,STYLE,JJ,1,111.4,Sun,afternoon,0,1,134,2,2,0,1,0,0,0,40
afternoon,Fri,COLOR,JOANNE,STYLE,JJ,1,82,Thurs,morning,0,0,82,1,1,0,0,0,0,0,120
afternoon,Fri,COLOR,JOANNE,STYLE,SINEAD,0,0,Wed,,0,0,230,5,3,2,2,2,0,0,37
afternoon,Fri,COLOR,JOANNE,STYLE,JJ,1,75,Fri,afternoon,0,0,157,2,2,0,0,0,0,0,35
afternoon,Fri,COLOR,KELLY,STYLE,JJ,1,102,Tues,morning,0,0,102,1,1,0,0,0,0,0,17
afternoon,Fri,COLOR,JOANNE,STYLE,JJ,1,102,Fri,morning,0,0,376,4,3,1,3,0,0,0,35
afternoon,Sat,COLOR,JOANNE,STYLE,JJ,1,60,Thurs,evening,0,0,155,3,2,1,2,0,0,0,37
afternoon,Sat,COLOR,JOANNE,STYLE,SINEAD,1,30,Tues,evening,0,0,30,1,1,0,0,0,0,0,46
afternoon,Sat,COLOR,JOANNE,STYLE,BECKY,1,0,Fri,,1,0,50,2,1,1,0,1,1,0,43
afternoon,Sat,COLOR,JOANNE,STYLE,SINEAD,1,50,Thurs,morning,0,0,82,2,2,0,0,0,0,0,16
afternoon,Sat,COLOR,JOANNE,STYLE,SINEAD,1,50,Sat,morning,0,0,120,2,2,0,1,0,0,0,35
afternoon,Sat,COLOR,JOANNE,STYLE,JJ,1,0,Tues,morning,1,0,966,10,10,0,0,0,5,0,4
afternoon,Sun,COLOR,JJ,STYLE,JJ,1,0,Sun,,1,0,0,2,1,1,0,1,2,1,42
afternoon,Thurs,COLOR,JOANNE,STYLE,BECKY,1,80,Tues,morning,0,0,150,2,2,0,0,0,0,0,2
afternoon,Thurs,COLOR,JOANNE,STYLE,SINEAD,1,0,Tues,evening,1,0,430,7,6,1,0,2,4,0,9
afternoon,Thurs,COLOR,JOANNE,STYLE,SINEAD,1,0,Thurs,afternoon,1,0,605,8,7,1,2,0,5,0,7
afternoon,Thurs,COLOR,KELLY,STYLE,KELLY,1,55,Wed,evening,0,0,90,2,2,0,0,0,0,1,1
afternoon,Thurs,COLOR,JOANNE,STYLE,JJ,1,102,Fri,afternoon,0,0,134,2,2,0,0,0,0,0,27
afternoon,Thurs,COLOR,JOANNE,STYLE,SINEAD,1,70,Wed,evening,0,0,70,1,1,0,0,0,0,0,36
afternoon,Tues,COLOR,JOANNE,STYLE,JJ,1,82,Fri,afternoon,0,0,82,1,1,0,0,0,0,0,4
afternoon,Tues,COLOR,JOANNE,STYLE,JJ,1,102,Tues,morning,0,0,344,3,2,1,0,0,0,0,14
afternoon,Tues,COLOR,JOANNE,STYLE,JJ,1,306.1,Sun,afternoon,0,1,82,1,1,0,1,0,0,0,23
afternoon,Tues,COLOR,JJ,STYLE,JJ,1,60,Thurs,afternoon,0,0,60,3,2,1,0,0,2,0,19
afternoon,Wed,COLOR,KELLY,STYLE,KELLY,1,55,Wed,afternoon,0,0,55,1,1,0,0,0,0,0,14
afternoon,Wed,COLOR,JOANNE,STYLE,KELLY,1,55,Wed,afternoon,0,0,1001,16,13,3,9,1,0,0,7
afternoon,Wed,COLOR,JOANNE,STYLE,JJ,1,102,Sat,morning,0,0,184,2,2,0,0,0,0,0,60
afternoon,Wed,COLOR,JOANNE,STYLE,JJ,1,102,Thurs,afternoon,0,0,184,2,2,0,0,0,0,0,6
afternoon,Wed,COLOR,JOANNE,STYLE,JJ,1,51,Thurs,afternoon,0,0,51,1,1,0,0,0,0,0,55
afternoon,Fri,MISC,JJ,STYLE,JJ,1,82,Thurs,afternoon,0,0,82,1,1,0,0,0,0,0,43
afternoon,Sat,MISC,JJ,STYLE,JJ,1,228.25,Sat,afternoon,0,1,82,1,1,0,1,0,0,0,70
afternoon,Sat,MISC,JJ,STYLE,BECKY,1,60,Sat,morning,0,0,60,1,1,0,0,0,0,0,7
afternoon,Tues,MISC,JOANNE,STYLE,JJ,0,0,Thurs,,0,0,82,3,3,0,0,1,1,0,12
afternoon,Tues,MISC,JJ,STYLE,JJ,1,82,Fri,afternoon,0,0,82,1,1,0,0,0,0,0,88
afternoon,Wed,MISC,JJ,STYLE,JJ,1,82,Wed,evening,0,0,82,1,1,0,0,0,0,0,42
afternoon,Fri,STYLE,BECKY,STYLE,BECKY,1,76,Thurs,evening,0,1,30,1,1,0,1,0,0,0,36
afternoon,Fri,STYLE,KELLY,STYLE,KELLY,1,55,Sat,evening,0,0,189,3,3,0,0,0,0,0,13
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,70.73,Fri,afternoon,0,1,40,1,1,0,1,0,0,0,84
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,102,Fri,morning,0,0,184,2,2,0,0,0,0,1,49
afternoon,Fri,STYLE,BECKY,STYLE,BECKY,1,50,Wed,afternoon,0,0,182,3,3,0,1,0,0,0,2
afternoon,Fri,STYLE,BECKY,STYLE,SINEAD,1,35,Wed,afternoon,0,0,35,1,1,0,0,0,0,0,51
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,82,Thurs,afternoon,0,0,82,1,1,0,0,0,0,0,36
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,40,Thurs,evening,0,0,40,1,1,0,0,0,0,0,43
afternoon,Fri,STYLE,KELLY,STYLE,KELLY,1,339,Sat,morning,0,1,45,1,1,0,1,0,0,0,69
afternoon,Fri,STYLE,BECKY,STYLE,BECKY,1,30,Fri,morning,0,0,30,1,1,0,0,0,0,0,21
afternoon,Fri,STYLE,KELLY,STYLE,BECKY,1,60,Thurs,afternoon,0,0,60,1,1,0,0,0,0,0,50
afternoon,Fri,STYLE,BECKY,STYLE,BECKY,1,60,Fri,afternoon,0,0,60,1,1,0,0,0,0,0,63
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,82,Tues,evening,0,0,152,2,2,0,0,0,0,0,52
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,82,Fri,afternoon,0,0,82,1,1,0,0,0,0,0,35
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,75,Fri,afternoon,0,0,157,2,2,0,0,0,0,0,35
afternoon,Fri,STYLE,BECKY,STYLE,BECKY,1,5,Fri,morning,0,0,5,1,1,0,0,0,0,0,42
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,90.5,Fri,morning,0,1,100,2,2,0,2,0,0,0,42
afternoon,Fri,STYLE,BECKY,STYLE,BECKY,1,80,Thurs,afternoon,0,0,165,3,3,0,0,0,0,0,8
afternoon,Fri,STYLE,BECKY,STYLE,KELLY,1,35,Thurs,afternoon,0,0,35,1,1,0,0,0,0,0,15
afternoon,Fri,STYLE,BECKY,STYLE,JJ,1,52,Fri,evening,0,0,122,2,2,0,0,0,0,0,7
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,102,Fri,morning,0,0,376,4,3,1,3,0,0,0,35
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,206.5,Sat,morning,0,1,82,1,1,0,1,0,0,0,76
afternoon,Fri,STYLE,BECKY,STYLE,BECKY,1,30,Thurs,afternoon,0,0,30,1,1,0,0,0,0,0,43
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,40,Thurs,afternoon,0,0,40,1,1,0,0,0,0,0,29
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,102,Fri,morning,0,0,134,2,2,0,0,0,0,0,70
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,110.8,Fri,evening,0,1,82,1,1,0,1,0,0,0,49
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,82,Fri,morning,0,0,82,1,1,0,0,0,0,0,28
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,102,Tues,morning,0,0,236,3,3,0,0,0,0,0,24
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,52,Fri,afternoon,0,0,204,4,3,1,2,1,0,0,7
afternoon,Fri,STYLE,JJ,STYLE,JJ,1,32,Sat,morning,0,0,32,1,1,0,0,0,0,0,20
afternoon,Fri,STYLE,JJ,STYLE,BECKY,1,30,Fri,afternoon,0,0,30,1,1,0,0,0,0,0,35
afternoon,Sat,STYLE,KELLY,STYLE,KELLY,1,55,Sat,evening,0,0,90,2,2,0,0,0,0,0,14
afternoon,Sat,STYLE,KELLY,STYLE,KELLY,1,35,Sat,afternoon,0,0,145,3,3,0,0,0,0,0,14
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,52,Wed,afternoon,0,0,234,3,2,1,2,0,0,0,45
afternoon,Sat,STYLE,SINEAD,STYLE,SINEAD,1,35,Thurs,evening,0,0,35,1,1,0,0,0,0,0,23
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,125.4,Sun,afternoon,0,1,286,3,3,0,1,0,0,0,20
afternoon,Sat,STYLE,BECKY,STYLE,BECKY,1,0,Tues,evening,1,0,490,6,6,0,0,0,4,1,11
afternoon,Sat,STYLE,BECKY,STYLE,BECKY,1,0,Tues,morning,1,0,840,11,11,0,0,2,7,1,11
afternoon,Sat,STYLE,SINEAD,STYLE,SINEAD,1,83.8,Thurs,evening,0,1,90,3,3,0,1,1,0,0,23
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,60,Thurs,evening,0,0,155,3,2,1,2,0,0,0,37
afternoon,Sat,STYLE,BECKY,STYLE,SINEAD,1,50,Wed,afternoon,0,0,402,7,6,1,3,0,0,0,3
afternoon,Sat,STYLE,BECKY,STYLE,SINEAD,1,70,Sat,afternoon,0,0,70,3,1,0,0,0,0,0,42
afternoon,Sat,STYLE,BECKY,STYLE,SINEAD,1,30,Tues,evening,0,0,30,1,1,0,0,0,0,0,46
afternoon,Sat,STYLE,BECKY,STYLE,BECKY,1,60,Sat,morning,0,0,60,1,1,0,0,0,0,0,56
afternoon,Sat,STYLE,SINEAD,STYLE,BECKY,1,50,Fri,evening,0,0,280,4,3,1,0,2,2,1,8
afternoon,Sat,STYLE,SINEAD,STYLE,JJ,1,52,Sat,morning,0,0,184,5,4,1,1,1,2,0,7
afternoon,Sat,STYLE,KELLY,STYLE,BECKY,0,0,Sat,,0,0,338,9,8,1,1,2,2,0,7
afternoon,Sat,STYLE,KELLY,STYLE,BECKY,1,50,Sun,afternoon,0,0,655,14,12,2,3,3,3,0,20
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,40,Thurs,morning,0,0,40,1,1,0,0,0,0,0,121
afternoon,Sat,STYLE,JJ,STYLE,HOUSE,2,260,Sat,morning,0,0,342,3,2,0,1,0,0,0,28
afternoon,Sat,STYLE,BECKY,STYLE,BECKY,0,0,Fri,,1,0,0,3,3,0,0,3,3,1,22
afternoon,Sat,STYLE,SINEAD,STYLE,SINEAD,1,70,Sat,afternoon,0,0,70,1,1,0,0,0,0,0,28
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,102,Thurs,morning,0,0,184,2,2,0,0,0,0,1,9
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,40,Wed,afternoon,0,0,40,1,1,0,0,0,0,0,38
afternoon,Sat,STYLE,KELLY,STYLE,KELLY,1,35,Wed,morning,0,0,35,1,1,0,0,0,0,0,38
afternoon,Sat,STYLE,SINEAD,STYLE,HOUSE,1,250,Tues,morning,0,0,280,4,4,0,0,2,2,1,4
afternoon,Sat,STYLE,SINEAD,STYLE,SINEAD,0,0,Thurs,,0,0,380,7,7,0,0,3,4,0,2
afternoon,Sat,STYLE,BECKY,STYLE,BECKY,0,0,Tues,,1,0,876,18,18,0,0,6,8,0,25
afternoon,Sat,STYLE,JJ,STYLE,SINEAD,1,70,Sat,morning,0,0,70,1,1,0,0,0,0,0,98
afternoon,Sat,STYLE,BECKY,STYLE,SINEAD,1,50,Thurs,morning,0,0,82,2,2,0,0,0,0,0,16
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,40,Sat,afternoon,0,0,40,1,1,0,0,0,0,0,70
afternoon,Sat,STYLE,SINEAD,STYLE,JJ,1,82,Sun,afternoon,0,0,82,1,1,0,0,0,0,0,6
afternoon,Sat,STYLE,BECKY,STYLE,BECKY,0,0,Sat,,0,0,430,7,7,0,0,2,4,1,7
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,60,Tues,evening,0,0,100,3,3,0,0,1,1,1,46
afternoon,Sat,STYLE,BECKY,STYLE,BECKY,0,0,Sat,,1,0,60,2,2,0,0,1,1,0,14
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,0,Tues,morning,1,0,500,6,6,0,0,0,4,0,4
afternoon,Sat,STYLE,JJ,STYLE,JJ,1,0,Sun,evening,1,0,1172,14,13,1,0,0,7,1,6
afternoon,Sat,STYLE,SINEAD,STYLE,JJ,1,32,Sat,afternoon,0,0,32,1,1,0,0,0,0,0,14
afternoon,Sat,STYLE,SINEAD,STYLE,JJ,1,82,Sat,evening,0,1,344,6,5,1,3,0,0,0,7
afternoon,Sun,STYLE,BECKY,STYLE,BECKY,1,50,Fri,evening,0,0,80,2,2,0,0,0,0,0,44
afternoon,Sun,STYLE,JJ,STYLE,JJ,1,40,Sat,morning,0,0,40,1,1,0,0,0,0,0,29
afternoon,Sun,STYLE,JJ,STYLE,JJ,1,102,Thurs,morning,0,0,184,2,2,0,0,0,0,0,38
afternoon,Sun,STYLE,BECKY,STYLE,SINEAD,0,0,Sat,,0,0,70,2,2,0,0,1,0,0,43
